week_bandit,repair_bandit,size,weeks,n,mean_final_penalty,std_final_penalty
epsilon_greedy,epsilon_greedy,5,4,9,3873.3333333333335,422.70294271246536
epsilon_greedy,epsilon_greedy,12,8,6,18175.833333333332,1248.7407546093073
epsilon_greedy,epsilon_greedy,21,4,9,13779.444444444445,709.324578754107
epsilon_greedy,linucb,5,4,9,3590.0,264.921371982959
epsilon_greedy,linucb,12,8,6,15373.333333333334,1008.3636359083079
epsilon_greedy,linucb,21,4,9,11411.666666666666,822.0029737713172
epsilon_greedy,thompson,5,4,9,3581.1111111111113,227.45912670409086
epsilon_greedy,thompson,12,8,6,16681.666666666668,644.1575031689757
epsilon_greedy,thompson,21,4,9,13570.0,995.8915603618699
epsilon_greedy,ucb1,5,4,9,3861.6666666666665,480.42226796387735
epsilon_greedy,ucb1,12,8,6,17077.5,1704.6694449853514
epsilon_greedy,ucb1,21,4,9,12847.777777777777,1110.9458210389698
epsilon_greedy,uniform,5,4,9,3855.5555555555557,216.91581117060707
epsilon_greedy,uniform,12,8,6,18094.166666666668,946.4909608067522
epsilon_greedy,uniform,21,4,9,15399.444444444445,823.4866403977543
linucb,epsilon_greedy,5,4,9,3913.8888888888887,340.3411505613626
linucb,epsilon_greedy,12,8,6,17597.5,1568.8922578260963
linucb,epsilon_greedy,21,4,9,12545.555555555555,872.8002331081152
linucb,linucb,5,4,9,3600.0,330.4374205335844
linucb,linucb,12,8,6,15941.666666666666,558.1417581781731
linucb,linucb,21,4,9,11494.444444444445,401.5486994434067
linucb,thompson,5,4,9,3855.5555555555557,387.0791222910121
linucb,thompson,12,8,6,18260.833333333332,1005.3955136606135
linucb,thompson,21,4,9,13444.444444444445,794.8984716596917
linucb,ucb1,5,4,9,4033.3333333333335,525.9171882424921
linucb,ucb1,12,8,6,17149.166666666668,1389.4405848717995
linucb,ucb1,21,4,9,12586.666666666666,1186.8164699452623
linucb,uniform,5,4,9,3795.0,325.08118644083015
linucb,uniform,12,8,6,18220.833333333332,1139.9138003472992
linucb,uniform,21,4,9,14509.444444444445,823.9115528462871
thompson,epsilon_greedy,5,4,9,3794.4444444444443,388.0681816127765
thompson,epsilon_greedy,12,8,6,17178.333333333332,982.4869238598321
thompson,epsilon_greedy,21,4,9,13479.444444444445,1497.5599495409645
thompson,linucb,5,4,9,3525.5555555555557,269.6236517448848
thompson,linucb,12,8,6,15192.5,691.6330313106799
thompson,linucb,21,4,9,11418.333333333334,1029.166329284695
thompson,thompson,5,4,9,3759.4444444444443,290.7217497925966
thompson,thompson,12,8,6,17749.166666666668,1282.9439344292832
thompson,thompson,21,4,9,13493.333333333334,863.410549957422
thompson,ucb1,5,4,9,4096.111111111111,413.94294948953865
thompson,ucb1,12,8,6,17328.333333333332,1681.8780838363075
thompson,ucb1,21,4,9,13112.777777777777,2002.99374702401
thompson,uniform,5,4,9,3950.0,356.4874939367906
thompson,uniform,12,8,6,18961.666666666668,740.7522452810312
thompson,uniform,21,4,9,15342.777777777777,1068.9353766744614
ucb1,epsilon_greedy,5,4,9,3538.3333333333335,259.8931404336106
ucb1,epsilon_greedy,12,8,6,16829.166666666668,959.7804291723301
ucb1,epsilon_greedy,21,4,9,12605.555555555555,937.5957564265826
ucb1,linucb,5,4,9,3566.1111111111113,173.8578247013247
ucb1,linucb,12,8,6,14521.666666666666,1204.7118143172481
ucb1,linucb,21,4,9,10825.0,667.936291040462
ucb1,thompson,5,4,9,3682.777777777778,235.39695918822255
ucb1,thompson,12,8,6,16870.0,1015.9396307524052
ucb1,thompson,21,4,9,13829.444444444445,920.5808686924083
ucb1,ucb1,5,4,9,3777.222222222222,503.70908221529305
ucb1,ucb1,12,8,6,17264.166666666668,1706.3812017118437
ucb1,ucb1,21,4,9,13445.555555555555,1503.1438247967794
ucb1,uniform,5,4,9,4036.6666666666665,409.09792362111926
ucb1,uniform,12,8,6,18745.833333333332,696.5295917778528
ucb1,uniform,21,4,9,15425.0,797.8373546309075
uniform,epsilon_greedy,5,4,9,3675.0,412.8088069689298
uniform,epsilon_greedy,12,8,6,15935.0,1218.834826107842
uniform,epsilon_greedy,21,4,9,12896.666666666666,1204.8720540649397
uniform,linucb,5,4,9,3445.0,256.7424130654432
uniform,linucb,12,8,6,15155.0,1006.7025379922313
uniform,linucb,21,4,9,11490.0,1051.2585050521325
uniform,thompson,5,4,9,3756.1111111111113,284.6320995579477
uniform,thompson,12,8,6,16500.833333333332,995.541798330046
uniform,thompson,21,4,9,13305.555555555555,924.4711534603159
uniform,ucb1,5,4,9,4068.3333333333335,513.5605557716095
uniform,ucb1,12,8,6,16974.166666666668,224.39579368210585
uniform,ucb1,21,4,9,12248.333333333334,1786.0228939679855
uniform,uniform,5,4,9,3883.3333333333335,125.8526475243524
uniform,uniform,12,8,6,17233.333333333332,871.4674724598478
uniform,uniform,21,4,9,15251.111111111111,1016.3736675547854
